Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
3212467783,"Mar 24, 2020, 10:15:22 AM",Morning Walk,Walk,,3433,4.33,,,false,,,activities/3212467783.gpx,74.8,,3433.0,3123.0,4331.6,2.7,1.387,52.0,51.9,113.4,162.8,15.7,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,14.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3216888191,"Mar 25, 2020, 2:54:08 PM",Afternoon Walk,Walk,,4614,5.86,,,false,,,activities/3216888191.gpx,74.8,,4614.0,4190.0,5863.1,4.6,1.399,116.7,115.9,112.7,162.8,38.4,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,34.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3238163599,"Mar 30, 2020, 7:57:00 PM",Evening Walk,Walk,,660,1.05,,,false,,,activities/3238163599.gpx,74.8,,660.0,660.0,1052.6,4.2,1.595,2.9,3.5,107.6,111.8,5.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3239795358,"Mar 31, 2020, 5:48:00 PM",Evening Walk,Walk,,5218,1.58,,,false,,,activities/3239795358.gpx,74.8,,5218.0,1631.0,1586.4,2.4,0.973,25.9,26.5,112.3,142.4,30.1,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3259738224,"Apr 5, 2020, 4:17:43 PM",Afternoon Walk,Walk,,6150,8.75,,,false,,,activities/3259738224.gpx,74.8,,6150.0,6103.0,8750.2,2.9,1.434,140.7,143.5,112.6,175.2,25.4,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,50.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3266702971,"Apr 7, 2020, 2:19:47 PM",Afternoon Walk,Walk,,2103,3.20,,,false,,,activities/3266702971.gpx,74.8,,2103.0,2085.0,3201.6,8.0,1.536,70.9,74.1,112.5,157.9,31.4,-0.1,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,9.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3279161420,"Apr 10, 2020, 11:10:09 AM",Lunch Run,Run,,1197,2.51,,,false,,,activities/3279161420.gpx,74.8,,1197.0,896.0,2511.3,4.6,2.803,42.1,41.3,116.2,159.7,12.6,0.0,,,,,,,,,,,,,,,,,,9.0,,,,,0.0,44.0,0.0,,1.0,2580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3283627449,"Apr 11, 2020, 10:29:22 AM",Lunch Walk,Walk,,2641,3.71,,,false,,,activities/3283627449.gpx,74.8,,2641.0,2401.0,3711.2,4.0,1.546,100.3,99.8,104.2,159.8,22.6,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,20.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3290827834,"Apr 12, 2020, 6:24:17 PM",Evening Walk,Walk,,3327,4.36,,,false,,,activities/3290827834.gpx,74.8,,3327.0,3269.0,4363.3,6.9,1.335,54.8,54.9,116.2,164.6,9.7,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,15.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3293640995,"Apr 13, 2020, 2:02:11 PM",Afternoon Run,Run,,991,2.56,,,false,,,activities/3293640995.gpx,74.8,,991.0,903.0,2568.7,4.4,2.845,43.0,42.2,115.4,159.6,11.2,0.0,,,,,,,,,,,,,,,,,,9.0,,,,,0.0,45.0,0.0,,1.0,2635.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
